word;tag;freq_A1;freq_A2;freq_B1;freq_B2;freq_C1;freq_C2
affectivité;NOM;0.0;0.0;0.5531;0.0;0.0;0.0
affectueusement;ADV;0.0;1.2017;0.0;0.0;0.0;0.0
affectueux;ADJ;0.9051;0.5213;2.3204;0.0;0.0;0.0
affichage;NOM;0.0;0.0;0.1029;0.0;4.139;0.0
affiche;NOM;7.8941;27.5952;22.5133;12.3566;29.205;0.0
afficher;VER;0.0;4.486;20.0064;9.0915;91.5429;0.0
affilier;VER;0.0;0.0;0.1243;0.0;0.0;0.0
affilée;ADV;0.0;0.0;0.1243;0.0;0.0;0.0
affiner;VER;0.0;0.2129;3.6369;0.0;20.6179;12.833
affinité;NOM;0.0;0.0;0.6378;0.0;0.0;0.0
affirmatif;ADJ;0.0;0.0;0.4317;0.0;0.0;0.0
affirmation;NOM;0.0;0.0;0.0;4.5679;0.0;0.0
affirmative;NOM;0.0;0.0;0.1219;0.0;0.0;0.0
affirmer;VER;1.1123;36.611;82.7071;52.6131;135.4811;323.1451
affleurer;VER;0.0;0.0;0.0;1.2705;0.0;0.0
affligeant;ADJ;0.0;0.0;0.0;0.0;3.4423;0.0
affliger;VER;0.0;0.0;0.4317;2.2839;0.0;0.0
affluence;NOM;0.0;0.0;0.4665;0.0;0.0;0.0
affluent;NOM;0.0;4.7285;0.0;0.0;0.0;0.0
affluer;VER;0.0;0.0;0.0;0.0;0.0;19.328
afflux;NOM;0.0;0.0;0.4665;0.0;0.0;0.0
affolant;ADJ;0.0;0.0;0.0;0.0;6.0005;0.0
affolement;NOM;0.0;0.0;0.185;0.0;0.0;12.833
affoler;VER;9.5897;0.5213;19.215;0.0;6.0005;0.0
affranchi;ADJ;0.0;0.606;0.0;0.0;0.0;0.0
affranchir;VER;0.0;0.0;0.6378;0.0;3.4423;0.0
affreusement;ADV;0.0;0.6228;2.8121;0.0;0.0;0.0
affreux;ADJ;0.0;16.4607;0.6118;12.8024;0.0;0.0
affront;NOM;0.0;0.0;0.4317;0.0;0.0;0.0
affrontement;NOM;0.0;0.1276;7.7544;0.0;6.8846;19.328
affronter;VER;1.6691;14.9946;25.675;14.4995;20.024;0.0
affubler;VER;0.0;0.0;0.0;1.3018;0.0;0.0
affût;NOM;0.0;0.6008;0.6378;0.0;0.0;0.0
aficionado;NOM;0.0;0.0;0.4662;0.0;0.0;0.0
afin;KON;0.9051;30.6961;92.8452;68.182;298.7706;151.257
africain;ADJ;32.462;12.4866;26.4618;9.0915;104.967;193.2799
africain;NOM;0.0;0.0;0.3906;0.0;0.0;0.0
agacement;NOM;0.0;0.0;1.1713;0.0;6.0005;0.0
agacer;VER;0.0;0.0;0.5008;18.0984;0.0;0.0
agaçant;ADJ;0.5504;0.0;0.0;0.0;0.0;0.0
agence;NOM;43.2495;8.0849;38.3676;19.035;20.6179;77.312
agenda;NOM;0.0;0.0;3.1779;0.0;0.0;19.328
agent;NOM;0.0;31.8261;13.3777;164.4634;66.9321;12.833
aggiornamento;NOM;0.0;0.0;0.0;0.0;6.0005;0.0
agglomération;NOM;0.0;0.5137;2.6419;0.0;31.3528;0.0
agglutiner;VER;0.0;0.0;0.0;0.911;0.0;0.0
aggravation;NOM;0.0;0.0;0.0;0.0;8.2781;0.0
aggrave;NOM;0.0;0.0;0.0;1.2705;0.0;0.0
aggraver;VER;0.0;0.0;0.6378;0.0;4.139;0.0
agile;ADJ;0.0;0.3851;0.4317;1.3018;0.0;0.0
agilité;NOM;0.0;0.0;0.5531;0.0;0.0;19.328
agio;NOM;0.0;0.0;0.0;0.0;3.4423;0.0
agir;VER;16.0969;93.3901;261.5859;256.3401;664.205;665.1382
agitation;NOM;0.7319;3.9055;0.4317;0.0;0.0;0.0
agiter;VER;7.2705;0.8672;27.1713;18.0984;12.0009;12.833
agneau;NOM;0.0;0.2129;0.2331;0.0;10.3269;0.0
agoniser;VER;0.0;0.0;0.0;0.0;6.0005;0.0
agora;NOM;0.0;0.0;0.3906;0.0;0.0;0.0
agoraphobie;NOM;0.0;0.0;0.6378;0.0;0.0;0.0
agrandir;VER;0.0;9.6542;3.6048;17.7382;4.139;0.0
agrandissement;NOM;0.0;0.2129;0.0;0.0;0.0;0.0
agresser;VER;0.0;4.6396;0.0;2.6036;4.139;12.833
agresseur;NOM;0.0;0.0;0.0;0.0;4.139;0.0
agressif;ADJ;0.0;0.6228;4.8809;0.0;31.3781;19.328
agression;NOM;0.8075;0.0;0.3059;6.5091;6.0005;0.0
agressivité;NOM;0.0;0.0;0.0;6.8518;0.0;0.0
agricole;ADJ;1.1123;3.6808;4.7796;2.5411;40.1357;0.0
agriculteur;NOM;0.0;0.7079;22.544;0.911;0.0;0.0
agriculture;NOM;29.7476;15.8993;5.3614;0.0;73.3785;12.833
agripper;VER;0.0;0.0;0.0;0.8102;0.0;0.0
agro-alimentaire;ADJ;0.8075;0.0;0.438;0.0;6.0005;0.0
agroalimentaire;ADJ;0.0;0.0;0.0;0.0;4.139;0.0
agronome;NOM;0.0;0.0;0.0;0.0;4.139;0.0
agronomie;NOM;0.0;0.0;0.0;0.0;4.139;0.0
agronomique;ADJ;0.0;0.0;0.0;0.0;6.0005;4.0185
agrume;NOM;0.0;0.0;0.0;0.0;0.0;8.037
agréable;ADJ;60.1664;47.5486;74.6554;24.6051;3.4423;4.0185
agréablement;ADV;0.8346;0.0;0.0;0.0;0.0;0.0
agréer;VER;0.0;8.6516;3.5957;14.4824;0.0;12.833
agrégat;NOM;0.0;0.0;0.0;0.0;6.0005;0.0
agrégation;NOM;0.0;0.0;0.0;0.0;6.0005;0.0
agréger;VER;0.0;0.0;0.0;1.2705;0.0;0.0
agrément;NOM;0.9051;0.0;0.0;2.2839;0.0;0.0
agrémenter;VER;0.0;0.0;0.6378;0.0;0.0;0.0
aguet;NOM;0.0;0.0;0.0;1.3018;0.0;0.0
aguicheur;ADJ;0.0;0.0;0.0;0.0;6.0005;0.0
ah;INT;1245.4763;364.4159;149.3712;204.6715;58.0665;0.0
aicher;VER;0.9121;0.0;0.0;0.0;0.0;0.0
aidant;NOM;0.0;0.2891;0.0;0.0;0.0;0.0
aide;NOM;134.1402;82.1259;116.4162;87.9191;138.6263;113.5434
aider;VER;572.1163;369.2804;288.0627;283.5655;200.7962;135.3747
aigle;NOM;0.0;0.0;10.7295;0.0;6.0005;0.0
aigre;ADJ;0.0;0.0;0.0;4.0509;0.0;0.0
aigrelet;ADJ;0.0;0.0;0.0;0.8102;0.0;0.0
aigrement;ADV;0.0;0.0;0.5857;0.0;0.0;0.0
aigreur;NOM;0.0;0.0;0.0;1.2705;0.0;0.0
aigu;ADJ;0.0;0.0;0.1029;0.8102;20.6179;0.0
aigue-marine;NOM;0.0;0.0;0.5008;0.0;0.0;0.0
aiguille;NOM;0.0;17.1622;0.0;1.0161;0.0;0.0
aiguiller;VER;0.0;0.0;0.0;0.0;4.139;0.0
aiguiser;VER;0.0;0.0;0.6378;0.911;0.0;0.0
aiguë;ADJ;0.0;0.0;0.0;0.8102;8.2781;0.0
ail;NOM;0.9713;0.6228;0.0;0.0;0.0;0.0
aile;NOM;35.2265;0.5137;5.8701;13.8424;20.024;19.328
ailer;VER;0.0;0.0;0.438;0.0;0.0;0.0
ailler;VER;7.0583;10.0751;2.4519;23.51;0.0;0.0
ailleurs;ADV;16.9564;18.4521;108.4208;141.9208;153.7708;134.1811
ailleurs;NOM;0.0;0.0;0.5531;0.0;0.0;0.0
aimable;ADJ;2.5271;21.7305;0.4665;23.2199;6.0005;0.0
aimablement;ADV;0.0;0.0;0.4317;0.0;0.0;0.0
aimant;NOM;0.0;0.0;0.6378;0.0;0.0;0.0
aimer;VER;2666.0987;1534.6889;769.5971;729.7956;232.2665;171.4545
ainsi;KON;7.7985;37.5672;142.2511;118.9798;307.4475;87.6689
ainsi;ADV;32.4082;223.7501;497.8233;483.1627;577.6131;823.4052
air;NOM;126.4404;545.007;438.4527;432.6874;190.2143;19.328
airbus;NOM;0.0;0.0;0.0;0.0;6.0005;0.0
aire;NOM;0.0;0.0;0.7812;0.0;0.0;19.328
aisance;NOM;0.0;0.0;3.6369;0.0;6.0005;0.0
aise;NOM;0.0;3.9045;22.5758;1.2705;0.0;0.0
aisé;ADJ;0.0;0.0;3.196;6.8518;12.4171;0.0
aisément;ADV;0.0;0.0;0.6378;2.2839;0.0;0.0
ajourner;VER;0.0;0.0;0.0;1.3018;0.0;0.0
ajout;NOM;0.0;0.0;0.0;0.0;6.0005;0.0
ajoute;NOM;8.1169;0.2891;3.2399;0.0;0.0;0.0
ajouter;VER;162.2497;116.2602;159.0106;184.2057;253.2767;227.3515
alambic;NOM;0.0;0.0;0.0;0.0;12.0009;0.0
alanguir;VER;0.0;0.4664;0.0;0.0;0.0;0.0
alarmant;ADJ;0.0;0.0;0.0;1.2705;0.0;0.0
alarme;NOM;0.0;0.1865;3.5636;2.2839;27.9938;0.0
alarmer;VER;0.0;0.0;0.0;4.5679;3.4423;0.0
alarmiste;ADJ;0.0;0.0;0.0;0.911;4.139;0.0
albigeois;ADJ;0.0;0.0;0.438;0.0;0.0;0.0
albinos;NOM;0.0;1.2017;0.0;0.0;0.0;0.0
album;NOM;23.6523;52.3082;7.4403;10.1643;0.0;0.0
albâtre;NOM;0.0;0.0;0.4317;0.0;0.0;0.0
alcool;NOM;16.8214;1.0275;52.5275;28.8538;51.9203;19.328
alcoolique;ADJ;0.0;0.6228;0.0;0.0;0.0;0.0
alcoolique;NOM;0.8075;0.0;0.0;0.0;0.0;0.0
alcooliser;VER;0.0;0.0;0.3906;0.0;0.0;0.0
alcoolisme;NOM;1.2635;0.0;0.0;1.6204;0.0;19.328
alcoolémie;NOM;0.0;0.5137;0.0;0.0;0.0;0.0
alcootest;NOM;0.0;0.606;0.0;0.0;0.0;0.0
aldéhyde;NOM;0.0;0.0;0.0;0.0;6.0005;0.0
aldéhydé;ADJ;0.0;0.0;0.0;0.0;0.0;4.0185
alentour;NOM;0.0;4.6393;0.1243;14.5446;0.0;12.833
alerte;NOM;0.0;0.0;0.4665;0.0;18.0014;0.0
alerte;ADJ;0.0;0.0;3.5861;0.0;6.0005;0.0
alerter;VER;0.0;0.6228;0.5857;0.0;6.0005;0.0
alexandra;NOM;0.0;0.0;0.5857;0.0;0.0;0.0
algérien;ADJ;0.0;6.5775;0.5857;1.2705;0.0;57.984
alibi;NOM;0.6291;0.0;0.4665;1.3018;0.0;0.0
alignement;NOM;0.0;0.0;0.6378;0.0;0.0;0.0
aligner;VER;0.0;0.0;3.4715;1.2705;0.0;0.0
aliment;NOM;16.0438;0.606;21.4911;0.0;3.4423;0.0
alimentaire;ADJ;0.8075;4.6912;22.8105;0.8102;101.2835;38.4989
